Kinds of bussines,Naics Code,Advertising And Promotional Services,Annual Payroll,Cleaneb businnes,Commission Expense Amount,Communication Services,Contract Labor Costs,Data Processing And Computer Services,Depreciation And Amortization,Electricity,Employer Cost,Employer Costs Benefits,Employer Costs Contribution Plans,Employer Costs Health Insurance,Employer Costs Pension Plans,Expensed Equipment Amount,Expenses YoY,Fuels,Maintenance Of Buildings Offices,Operating Expenses,Other Operating Expenses,Packaging Materials And Containers,Parts And Supplies Not For Resale,Professional And Technical Services,Purchases Of Software,Rental Payment For Machinery,Rental Payments For Buildings Offices,Repairs And Maintenance Of Equipment,Taxes And License,Transportation Shipping Warehousing,Water Sewer And Other Utility
null,72,18668,,2018,,,,,28609,,,,,,,,56211,,,,66497,,,8730,,,,,13908,869,
Accommodation,721,6150,44919,2019,1812,863,1103,539,14019,4335,11305,6458,392,4276,179,518,1618,964,2101,138357,24886,95,4676,3071,353,682,3152,1482,9211,245,1906
All other general merchandise stores,45299,546,6130,2007,225,78,39,17,902,644,1094,658,44,376,15,32,467.7,45,149,15660,14825.3,108,150,246,17,45,2639,202,370,164,88
Auto parts and tire stores,4413,1146,13857,1990,1214.2,317,737.1,109,1198,477,2772,1564,145,1015,48,147,2143,136,189,27870,2113,39,727,450,50,96,2510,284,595,283,130
Automobile dealers,4411,7578,46947,1989,1011,612,305,1660,2442,1236,8107,4676,362,3008,61,564,11719,287,800,92263,7749,90,1537,1464,388,228,6461,535,1452,538,273
"Beer, wine, and liquor stores",4453,242,3163,1997,1214.2,72,11,40,333,302,590,326,30,201,32,48,5863,23,74,8357,1314,46,104,187,14,30,1294,76,180,57,52
Building mat. and garden equip dealers,444,3331,35414,1993,439,620,474,162,4738,1671,7625,3367,588,3572,98,392,32143,334,748,74261,6463,150,1480,810,198,610,4342,1102,1644,1224,290
Building mat. and supplies dealers,4441,2971,31353,1994,427,533,426,140,4180,1469,6864,2936,541,3313,74,326,9601,237,636,64850,5367,94,1149,687,170,476,3746,800,1464,1081,255
Clothing and accessories stores,448,5174,33397,2001,299,770,595,347,5352,1752,6006,3292,426,2157,130,216,7734,93,948,90188,9374,747,1344,2181,287,171,16633,396,2030,1764,311
Clothing stores,4481,3468,24477,2002,186,569,498,269,4201,1382,4360,2411,330,1553,66,163,3692,61,656,65589,6803,636,1032,1610,259,119,11623,272,1341,1370,236
Department stores,4521,4826,23100,2007,1214.2,292,737.1,178,4975,1467,5140,2686,430,1571,453,469,1125,54,556,48579,14825.3,229,886,685,172,132,2242,355,1631,419,148
Department stores (except discount dept. stores),452111,2365,10210,2007,1214.2,123,737.1,165,2260,678,2236,1196,592,640,366.1,469,466,23,242,20683,14825.3,141,306,225,100,45,1020,42,679,1584.7,81
Discount dept. stores,452112,2461,12890,2007,1214.2,169,737.1,14,2715,789,2905,1490,592,932,366.1,469,1224,31,314,27896,14825.3,88,580,459,73,87,1222,314,952,1584.7,67
Electronic shopping,4541,10444,24175,2017,2130,736.7,1539,435,3769,639,5258,2341,872,1954,92,216,1521,44,247,74505,8832,747,849,2679,501,308,3253,449,645,5781,104
